name,food_name,Images,CookTime,PrepTime,TotalTime,RecipeIngredientParts,Calories,FatContent,CarbohydrateContent,ProteinContent,RecipeServings,RecipeInstructions,is_seafood,is_nut,is_lactose
142,Apple Raspberry Pie,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/83/29/picSHpLHN.jpg",PT50M,PT2H,PT2H50M,"""all-purpose flour"", ""apple cider vinegar"", ""salt"", ""water"", ""sugar"", ""flour"", ""sugar"", ""cinnamon"", ""raspberries"", ""granny smith apples"", ""lemon juice"", ""nutmeg"", ""clove""",558.5,28.0,75.7,4.5,8,"""Freeze the flour in a medium bowl for"", ""one hour."", ""Refrigerate the lard for one hour then cut into cubes."", ""In small cup combine vinegar, salt and water."", ""Measure 1 cup flour on to table, place lard cubes on top then cover with the remaining flour."", ""Roll rolling pin over the mixture until all of t pieces have been flattened and slightly incorporated."", ""Scrape into a bowl an mix with liquid."", ""Turn dough out onto a lightly floured surface."", ""With a lightly floured rolling pin, roll out a rectangle about 8 X 12 inches."", 
""Fol to the center and roll out slightly to form an 8 inch square."", ""Roll and fol once more."", ""Wrap in parchment or waxed paper and refrigerate until needed."", ""Peel and cut and core apples into eighths."", ""Then dice crosswise into 1 1/2 chunks."", ""Toss apples with lemon juice."", ""Blend together 1/2 cup sugar with flour and spices."", ""Add apples and toss until evenly coated."", ""Add raspberries last toss lightly."", ""Cut 1/3 dough and reserve."", ""Roll remaining dough into a round 5 inches larger than dish."", 
""Place and fit into dish and trim overhang to 1 inch."", ""Spoon in apples and dome evenly."", ""Roll out remaining shell, crimp."", ""Sprinkle remaining sugar onto crust."", ""Cut 5 slits in center of dough."", ""Bake 425 degrees for 10 minutes, lower temperature to 400 degrees for 40 minutes, turning to brown evenly, Let cool."")",0,1,0
143,Audrey's Oriental Chicken,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/83/32/picyIsqpf.jpg",PT20M,PT15M,PT35M,"""brown sugar"", ""vinegar"", ""pineapple chunks"", ""onion"", ""boneless chicken breasts"", ""cornstarch"", ""soy sauce"", ""green pepper""",315.2,10.3,39.8,16.7,4,"In a medium bowl, combine sugar and cornstarch."", ""Gradually stir in vinegar and soy sauce."", ""Stir in pineapple, green pepper and onion, set aside."", ""Heat oil in wok."", ""Add chicken and stir fry, just until tender, and chicken has turned white."", ""Add pineapple and vegetable mixture; stir until well mixed."", ""Cover and simmer over low heat 15 minutes.",0,0,0
144,Chicken and Sweet Potatoes,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/83/38/picvqJsu1.jpg",PT30M,PT15M,PT45M,"""mashed potatoes"", ""butter"", ""brown sugar"", ""ground cinnamon"", ""nutmeg"", ""skim evaporated milk"", ""chicken broth"", ""onion"", ""water chestnuts"", ""chicken flavored white sauce"", ""chicken"", ""water""",237.8,5.7,43.3,4.4,8,"""Preheat oven to 350F."", ""In a medium size bowl, combine sweet potatoes, brown sugar,butter, cinnamon, nutmeg and evaporated milk."", ""Spread around the inside edge of a round 10 in. casserole, forming a ring."", ""In a medium size non stick skillet, heat broth over low heat."", ""Add onion and water chestnuts; cook until tender."", ""Add soup or sauce, chicken and 3 tablespoons water; cook over medium heat until hot, stirring occasionally."", ""Spoon chicken mixture into center of sweet potato ring in casserole."", 
""Bake uncovered, 30 min or until bubbling."")",0,1,1
145,Chicken Breasts With Spicy Rub,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/83/39/picTEsO1D.jpg",PT25M,PT10M,PT35M,"""chicken breasts"", ""cumin"", ""paprika"", ""brown sugar"", ""black pepper"", ""curry powder"", ""cayenne"", ""salt"", ""five-spice powder"", ""Dijon mustard"", ""red wine vinegar"", ""garlic cloves""",370.1,21.7,12.3,31.8,4,"Pat chicken pieces dry."", ""Combine ingredients for rub."", ""Smear rub over both sides of chicken; the more you use, the spicer it will be."", ""Heat barbecue."", ""Place chicken on grill, skin side down."", ""Cook over medium heat, about 10 to 12 minutes per side, until chicken is justed cooked through. (If heat is too high, coating will burn; if too low, cooking time will be a little longer).",0,0,0
146,Solo Teriyaki Chicken  Pilaf,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/84/37/pic2scNOL.jpg",PT20M,PT30M,PT50M,"""boneless skinless chicken breast"", ""gingerroot"", ""garlic clove"", ""soy sauce"", ""sherry wine"", ""sugar"", ""mushrooms"", ""raw rice""",517.8,6.7,62.6,37.1,1,"""Dice chicken into 1/4 inch pieces, and mix the next five ingredients and use to marinate the chicken in a shallow dish for at least a half  hour."", ""Pour the liquid from the canned mushrooms into a measuring cup and add enough additional chicken stock to make 2/3 cup liquid."", ""Heat a shallow pan with a tight fitting cover and add the cooking oil."", ""Add the chicken and stir until the meat starts to turn white on all sides, add mushrooms and raw rice grains."", ""Stir until the rice is mixed with the oil and then add the liquid."", 
""Cover, and reduce flame to the lowest level."", ""Cook for 15 minutes without lifting the cover, and then let sit for an additional 5 minutes with no heat before serving."")",0,0,0
147,Fair Funnel Cakes,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/84/45/kstBv1IQMKnAGv5878zp-facebook_photo.jpg",PT5M,PT20M,PT25M,"""eggs"", ""sugar"", ""all-purpose flour"", ""salt"", ""baking powder""",595.0,8.8,106.3,20.5,4,"Beat together eggs and sugar. Add milk slowly and beat. Add all dry ingredients, beat until smooth. Pour batter in a funnel--hold the hole closed w/ your finger. Next, remove finger and create designs while pouring it into the hot oil. BE VERY CAREFUL! (2 inches of oil). Turn onto."", ""other side until both sides are golden brown. Drain on paper towels and sprinkle w/ powdered sugar. We also like to add cinnamon as well."", ""Yummy!"", ""PS -- I highly recommend you make a double batch!",0,0,0
148,Vinegar-slithered Green Cabbage,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/84/56/pich3Fcxz.jpg",PT4M,PT5M,PT9M,"""head of cabbage"", ""salt"", ""sugar"", ""cornstarch"", ""cider vinegar"", ""soy sauce"", ""dry sherry""",165.6,7.1,21.0,4.3,4,"Rinse and drain the cabbage mix sauce ingredients in a bowl Heat the wok until it's hot then add the oil and peppers."", ""Cook them until the peppers turn a deep red (don't allow to burn)."", ""Add the cabbage and cook for 2 minutes until it turns bright green, but is still a bit crisp."", ""Add the sauce and stir until the starch turns translucent."", ""Serve with rice.",0,0,0
149,Tomato and Bread Soup,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/84/62/8462.jpg",PT50M,PT40M,PT1H30M,"""olive oil"", ""onion"", ""garlic cloves"", ""red pepper flakes"", ""plum tomatoes"", ""beef broth"", ""fresh basil"", ""gorgonzola""",278.6,15.5,29.4,8.2,4,"""Preheat oven to 350°F degrees, place bread cubes on baking sheet and toast until edges are lightly brown, about 8-10 minutes."", ""Heat olive oil in a 5 quart pot over medium heat, add onions and cook for 3-4 min or until they begin to soften."", ""Add the garlic and crushed red pepper and continue to cook, stirring, for an additional 5 minutes or until the garlic becomes golden."", ""Add pepperoncini, tomatoes, beef stock and toasted bread and bring to a boil."", ""Reduce to a simmer, add basil and cook, covered, 30-40 minutes stirring occasionally."", 
""Season to taste with salt and pepper. Ladle into soup bowls and drizzle with olive oil, garnish with crumbled Gorgonzola."")",0,0,0
150,"Fig, Cabrales, and Walnut Salad","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/84/69/8469.jpg",PT15M,PT10M,PT25M,"""shallot"", ""fresh sage"", ""extra virgin olive oil"", ""walnuts"", ""fresh figs"", ""cabrales cheese""",280.9,23.3,18.5,2.9,4,"""Preheat oven to 375°F."", ""For the dressing: in a small bowl combine vinegar, shallots, and sage."", ""Season with salt and pepper to taste."", ""Slowly drizzle the olive oil into the vinegar mixture, whisking constantly until completely incorporated; set aside."", ""Place the walnuts in a cake pan and toast in the oven for 1-15 minutes or until dark golden brown."", ""Transfer the walnuts onto a paper towel lined plate and lightly sprinkle with salt."", ""In a large bowl combine the salad greens and dressing and toss to coat."", 
""Divide the salad green between 4 plates, arrange 6 fig quarters on each and sprinkle with toasted walnuts and cabreles."")",0,1,1
151,Roasted Rosemary Skewered Figs,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/84/74/8474.jpg",PT45M,PT10M,PT55M,"""fresh figs"", ""fresh rosemary"", ""maple syrup"", ""apple cider vinegar"", ""mustard powder""",164.9,0.6,42.3,1.2,4,"preheat oven to 400 degrees. Skewer 3 whole figs onto each sprig of rosemary."", ""in a small bowl combine maple syrup, vinegar, and mustard."", ""place skewers into an oiled baking dish and roast for 30 min."", ""spoon maple syrup mixture over figs and continue roasting for 15 min basting occasionally.",0,0,0
152,Magic Squares,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/84/78/picW27jEo.jpg",PT20M,PT5M,PT25M,"""graham cracker crumbs"", ""sweetened condensed milk"", ""unsweetened coconut"", ""walnuts"", ""margarine""",278.8,20.4,23.7,3.9,20,"Preheat oven to 350°F."", ""Boil margarine in the microwave for about 5 seconds."", ""In a rectangular square pan, mix graham wafer crumbs and melted margarine and press evenly and firmly over the bottom."", ""Pour condensed milk evenly over the base."", ""Sprinkle the chocolate chips, coconut, and walnuts evenly in layers on top of the milk."", ""Bake for about 15-20 minutes."", ""Take pan out and let it cool on counter for about 45 minutes, and then cut into squares and refrigerate.",0,1,1
153,Chicken Stir-Fry,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/85/00/picGKvLnL.jpg",PT15M,PT10M,PT25M,"""boneless skinless chicken breast"", ""soy sauce"", ""garlic powder"", ""peanuts"", ""cashews"", ""Minute Rice""",665.6,26.3,65.1,45.4,4,"""Cook cut cup chicken breast strips in salad dressing in large skillet on medium high for 3 minutes or until done."", ""Add vegetables."", ""Stir in soy sauce and garlic powder."", ""Continue cooking 5 minutes or until chicken is cooked through (add more soy sauce & garlic powder if desired)."", ""You may add peanuts or cashews now or set on table and sprinkle on top of stir-fry."", ""Prepare minute rice according to package directions."", ""Serve over rice or noodles.   I do not add the peanuts or  cashews until the dish is on the table.  Each individual may then add (or not add) peanuts or cashews to the recipe.  I normally serve in two bowls, one bowl for the rice and the other for the chicken-stir-fry.  The peanuts or cashews are served in a small bowl with a spoon.""
)",0,1,0
154,Chicken and Chip Casserole,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/85/24/picdW5Er8.jpg",PT20M,PT20M,PT40M,"""butter"", ""boneless skinless chicken breast"", ""chicken broth"", ""Rotel Tomatoes"", ""cheese""",328.8,19.9,11.1,26.1,8,"Melt butter over medium heat, add chicken and onions."", ""Cook chicken until it is just cooked through."", ""Set aside."", ""In bowl mix, add undiluted cream of chicken soup, broth, and rotel."", ""In oven casserole dish crush 1/2 bag of chips, layer on bottom of dish."", ""Layer half of chicken and onions over chips."", ""Pour half of soup mixture over chicken."", ""Layer 2 cups of shredded cheese over chicken."", ""Repeat last 4 steps."", ""Bake in 350 degree oven for 20 minutes.",0,0,1
155,Best Waffles Ever,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/85/56/picYtO34O.jpg",PT8M,PT10M,PT18M,"""flour"", ""eggs"", ""baking soda"", ""baking powder"", ""sugar"", ""salt"", ""milk"", ""buttermilk"", ""butter"", ""vanilla"", ""cinnamon""",261.9,11.9,28.0,10.0,4,"""Take the eggs out of the refrigerator at least an hour before preparing the waffles."", ""Separate the eggs immediately."", ""Mix together flour, baking soda, baking powder, salt, sugar and cinnamon."", ""Beat the egg yolks with the regular milk or buttermilk, butter and vanilla."", ""Combine the dry ingredients into the egg mixture."", ""Beat the egg whites until stiff peaks form."", ""Add a small amount of the egg white into the batter to lighten it up, then fold in the remainder."", ""Be careful not to overmix."", 
""Heat waffle iron."", ""Grease lightly and spoon enough batter to nearly cover the surface."", ""Batter will spread once you close the waffle iron."", ""Cook until done."", ""Serve with your favorite waffle toppings."")",0,0,1
156,Van Gogh's Regret,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/85/58/picXx1OS7.jpg",PT2M,PT0S,PT2M,"""absinthe"", ""mineral water""",8.9,0.0,2.3,0.0,1,"Pour absinthe into a glass."", ""Place sugar cube in a spoon over the glass of absinthe."", ""Pour mineral water over sugar cube until cube is disolved into the absinthe."", ""The color of the resulting fluid should now be a thin but milky white."", ""Drink the mixture and repeat 3 or 4 times."", ""Cut off your ear with a large chef's knife and send to ex-girlfriend."", ""At this point, the regret should have set in."", ""Enjoy!",0,0,0
157,Baked Acorn Squash &amp; Brown Sugar,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/85/62/picBYao7T.jpg",PT40M,PT0S,PT40M,"""acorn squash"", ""brown sugar""",112.4,0.2,29.2,1.7,2,"Slice acorn squash in half."", ""Bake at 350°F for 35-40 minutes."", ""Scoop out the squash."", ""Add brown sugar."", ""Stir until somewhat smooth.",0,0,0
158,"Veal Cutlets, breaded","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/86/08/8608.jpeg",PT48M,PT15M,PT1H3M,"""eggs"", ""olive oil"", ""butter"", ""salt"", ""pepper"", ""parsley"", ""garlic powder"", ""parmesan cheese"", ""tomato sauce""",360.2,13.9,44.8,14.1,4,"In a bowl beat 2 eggs."", ""In a second bowl mix, bread crumbs, salt, pepper, garlic and parsley."", ""Dredge veal in eggs then bread mixture."", ""In oven proof fry pan heat oil or butter and cook for 3 minutes per side."", ""Sprinkle with parmesian cheese, add tomato sauce and bake for 30-45 minutes  in preheated 350`f oven.",0,0,1
159,Teriyaki Marinade,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/86/09/picKy19qc.jpg",PT20M,PT5M,PT25M,"""garlic cloves"", ""brown sugar"", ""ground ginger"", ""coarse black pepper"", ""water"", ""soy sauce"", ""chicken breasts""",410.2,21.4,8.9,43.3,4,"Mix garlic and brown sugar."", ""Then add rest of ingredients, mix well."", ""Marinate pork chops or chicken breast for 1 hour at room temperature or if you prefer overnight in the refrigerator."", ""Grill or bake accordingly.",0,0,0
160,Coffee Diabolique,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/86/37/pickNhAsP.jpg",PT5M,PT10M,PT15M,"""fresh lemon rind"", ""cinnamon sticks"", ""cloves"", ""cognac"", ""brandy""",13.5,0.1,2.9,0.3,8,"Heat orange and lemon rinds, spices, sugar and brandy, muddling with the bottom of a ladle."", ""When hot, light the brandy, burn off and add the coffee."", ""Serve in demitasse cups.",0,0,0
161,Swedish Meatballs,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/86/99/picnOH5iF.jpg",PT1H,PT30M,PT1H30M,"""ground beef"", ""ground pork"", ""onion"", ""parsley"", ""salt"", ""pepper"", ""Worcestershire sauce"", ""egg"", ""milk"", ""flour"", ""salt"", ""paprika"", ""pepper"", ""boiling water"", ""canned milk""",528.9,33.0,30.4,26.8,6,"Mix all above ingredients, EXCEPT gravy."", ""Shape into round balls and cook until browned."", ""Remove meat and stir into the fat, the flour ,paprika,salt and pepper."", ""Stir in the boiling water and canned milk."", ""Return meat balls to pan and cook 20 more minutes."", ""Serve over rice or noodles.",0,0,1
162,Ten-Minute Cheater's Pizza,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/87/09/picPcrGAL.jpg",PT7M,PT3M,PT10M,"""tomato sauce"", ""fresh mushrooms"", ""basil"", ""oregano"", ""lowfat mozzarella cheese""",261.2,7.9,37.6,9.6,1,"""Want pizza? It takes a few minutes! Here's the trick: keep pitas or tortillas, meat, and cheese in the freezer."", ""You can freeze a 2 inch stick of pepperoni in the freezer, and cut off the amount you need with a good sharp, warm, knife."", ""If you have a bag of shredded mozza in the freezer, it is easy to take only the amount you need."", ""Always keep a can or jars of plain tomato sauce in the house (you can then use it for pasta or other meals too)."", ""Put tomato sauce on pita, put on basil and oregano, then cheese, then veggies, then meat."", 
""Stick it in the oven or toaster oven at 375F degrees for about 7 minutes (until done)."", ""Sometimes I make the original recipie with hot italian sausage."", ""You can keep a link of italian sausage in the freezer."", ""Just make sure you skin and cook it first (takes only a few minutes in a frying pan)."", ""A good snack or appetizer I make uses a tortilla, tomato sauce, basil, a little freshly ground pepper, and feta cheese."", ""Simple, and tastes gourmet!"")",0,0,1
163,Banana Nut Muffins,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/87/20/8720.jpg",PT30M,PT20M,PT50M,"""walnut oil"", ""granulated sugar"", ""eggs"", ""potato starch"", ""matzo meal"", ""cream of tartar"", ""baking soda"", ""ground cinnamon"", ""walnuts"", ""pecans"", ""bananas""",255.8,14.9,28.9,3.5,12,"""Spray a muffin tin with vegetable oil or line with muffin papers."", ""Preheat the oven to 350°F."", ""In the bowl of an electric mixer, beat oil with sugar."", ""Add eggs one at a time and continue beating."", ""Add mashed bananas and combine well."", ""Combine matzo cake meal, potato starch, cream of tartar, baking soda, and ground cinnamon."", ""Add the chopped nuts."", ""Add the dry ingredients to the egg - banana mixture, until just combined."", ""Do not overmix."", ""Pour the batter into the prepared muffin tins, filling them to the top."", 
""Bake for 25-30 minutes  until the top is brown and a toothpick inserted in the center has moist crumbs."")",0,1,1
164,Delicious Quick Pasta &amp; Sauce,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/87/31/pic7uYMZq.jpg",PT20M,PT10M,PT30M,"""olive oil"", ""onion"", ""garlic cloves"", ""tomato sauce"", ""salt"", ""thyme"", ""red pepper flakes"", ""fresh basil leaf"", ""mozzarella cheese"", ""monterey jack cheese"", ""cheddar cheese"", ""parmesan cheese"", ""pasta""",605.0,12.7,100.8,22.2,2,"Heat oil over medium-high heat."", ""Add onion sauté until fragrant (2-3 minutes)."", ""Add garlic, cook 3-4 minutes more, stirring often to prevent browning."", ""Add tomato sauce and dry spices."", ""Reduce heat to low, cover and simmer for 10 minutes, stirring occasionally."", ""Remove from heat, add cheeses, stir gently until melted."", ""Add basil."", ""Pour over prepared pasta, toss to coat."", ""Top with parmesan cheese."", ""Serve with hot bread.",0,0,1
165,Claude's Baked Beans,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/87/91/pic4G357W.jpg",PT1H,PT15M,PT1H15M,"""ground sausage"", ""celery"", ""onion"", ""kidney beans"", ""brown sugar"", ""tomato paste"", ""prepared mustard""",368.2,12.8,54.1,13.9,10,"Brown sausage, celery, and onions put on side."", ""Mix remaining ingredients and then mix with sausage mixture."", ""Bake at 350 degrees for 1 hour.",0,0,0
166,Kid's Macaroni &amp; Cheese Casserole,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/87/93/pic45GqOD.jpg",PT20M,PT10M,PT30M,"""cheddar cheese"", ""tuna fish""",417.0,17.4,36.3,28.1,5,"""Preheat oven to 350 degrees."", ""Cook Macaroni& cheese according to directions."", ""Add cheese and tuna."", ""Mix well."", ""Pour into small-medium sized casserole dish."", ""Spread bread crumbs on top."", ""Top with crushed potato chips."", ""Bake un-covered for 20 minutes om top rack."", ""Note: Adding the extra cheese in this recipe makes a big difference in the flavor of this dish."", ""Boxed macaroni and cheese tends to be lacking in the cheese department no matter what brand you buy."", ""If you use a homemade macaroni and cheese, you can omit the 8 oz."", 
""of cheddar."")",1,0,1
167,Kmt's Low Fat Ricotta Spinach Rolls,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/87/98/picNohcQy.jpg",PT30M,PT45M,PT1H15M,"""pasta"", ""low-fat ricotta cheese"", ""fat-free ricotta cheese"", ""part-skim mozzarella cheese"", ""frozen chopped spinach"", ""carrots"", ""fresh parsley"", ""fresh basil"", ""egg""",448.3,12.5,59.1,24.4,8,"""Preheat oven to 350 degrees."", ""Start chopping basil and parsley."", ""(Use dried if you REALLY feel lazy!) Prepare Lasagna pasta according to package Lay a few sheets of wax paper on the kitchen table."", ""In a mixing bowl, combine Riccota, 1/2 of the mozzarella (reserve rest for later), Parsley, Basil, spinach (hopefully you really squeezed it out dry!) ,salt,pepper, egg and carrots."", ""Mix well by hand."", ""Lay cooked Lasagna on wax paper Spread a thin layer of spinach mixture down the length of the lasagna."", 
""You may have leftover pasta and/or spinach filling."", ""Just store it or chuck it."", ""Spread a little sauce on the bottom of large shallow casserole dish."", ""Roll each filled lasagna and place in casserole dish."", ""Spoon the pasta sauce onto Spinach roles."", ""Top with remaining mozzarella cheese."", ""Bake for 20-30 minutes ."", ""Serve hot with a crusty garlic bread and salad."")",0,0,1
168,Fish with Sage and Garlic Sauce,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/88/00/pic7kEV9J.jpg",PT30M,PT30M,PT1H,"""garlic"", ""salt"", ""pepper"", ""flour"", ""olive oil"", ""chicken broth"", ""sage leaves"", ""heavy cream"", ""parsley""",495.2,33.0,18.2,31.0,4,"""Preheat the oven to 400 degrees F."", ""Separate and peel the garlic, and simmer in water til they are soft, about 20 minutes."", ""Reserve several whole cloves, and let the rest simmer for 10 minutes more."", ""Then push through a fine strainer, so you have about 1/4 cup of puree."", ""Season the fish with salt and pepper and roll in flour, then saute fillets in the olive oil with the whole garlic cloves til just browned on high heat."", ""Then place in oven to bake til firm."", ""Meanwhile, heat the sage, broth, garlic puree and cream, and whisk until just thickened,~5 min."", 
""Pour the sauce over the fish a few minutes before it is done."", ""Serve with a couple of spoonfuls of sauce over the fish."")",0,0,1
169,Pudina (Mint) Roti,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/88/86/8886.jpg",PT35M,PT15M,PT50M,"""wheat flour"", ""ghee"", ""salt"", ""mint"", ""water"", ""ghee""",107.8,3.1,18.2,3.6,10,"Sift flour and salt."", ""Rub ghee evenly."", ""Add water& make a stiff dough."", ""Add mint paste."", ""Mix well."", ""Keep aside for 30 minutes."", ""Divide the dough into 10 parts."", ""Shape them with your palm and flatten them."", ""Roll each part into a round."", ""Place one at a time on a hot griddle."", ""Shallow fry with ghee."", ""Serve hot with a raita of your choice.",0,0,0
170,Fresh Vegetable Basil Soup,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/88/88/picQStr0C.jpg",PT45M,PT30M,PT1H15M,"""butter"", ""onion"", ""celery"", ""carrot"", ""potato"", ""tomatoes"", ""fresh basil"", ""cauliflower"", ""zucchini"", ""green peas"", ""parmesan cheese""",201.6,8.6,24.7,8.4,6,"""Sometimes I add a hot pepper sauce for some bite."", ""In a 5-qt pan over med heat, melt butter."", ""Add onion, celery and carrot."", ""Cook, stir occasionally, until veggies are soft but not brown (10 min)."", ""Add potato, tomatoes, stock, basil to pan."", ""Bring to boil, then cover and simmer for 15 minutes."", ""Add cauliflower and zucchini and simmer for about 10 minutes."", ""Add peas and simmer for about 5 minutes or until all veggies are tender."", ""Season with salt and pepper."", ""Serve with cheese.""
)",0,0,1
171,Pasta with Lentils and Goat Cheese,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/89/03/piczfL9rE.jpg",PT35M,PT10M,PT45M,"""vegetable broth"", ""lentils"", ""thyme"", ""medium pasta shells"", ""white wine vinegar"", ""parsley"", ""olive oil"", ""honey"", ""garlic"", ""feta cheese""",328.2,7.8,53.0,11.4,4,"Bring broth to boil over high heat."", ""Add lentils and thyme, reduce heat, cover and simmer until lentils are tender (20-30 minutes) Cook pasta according to package directions Drain pasta and lentils, transfer to serving bowl, keep warm."", ""Combine vinegar, parsley, oil, honey and garlic in small bowl."", ""Beat until blended."", ""Add to pasta and mix gently."", ""Sprinkle with cheese."", ""Salt and Pepper to taste.",0,0,1
172,Raisin Cinnamon Scones,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/89/06/picBpCtTv.jpg",PT20M,PT25M,PT45M,"""unbleached flour"", ""salt"", ""baking powder"", ""baking soda"", ""cinnamon"", ""sugar"", ""vanilla yogurt"", ""honey"", ""butter"", ""raisins""",159.1,4.8,26.8,3.1,12,"Mix dry ingredients in mixing bowl (I use a fork)."", ""cut in butter, and mix with fork until it resembles coarse crumbs."", ""Add raisins and make sure they are evenly dispersed."", ""Add honey and yogurt while mixing."", ""Dish out a spoonful into muffin tray and bake at approximately 425 F degrees for about 15-20 minutes or until golden brown on the top."", ""Note: I have made different versions of this recipe (adding dried currants as well as raisins).",0,0,1
173,Fiesta Cheesecake,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/89/71/yXR3KCJSoC7XU0YPihVh_Fiesta%20Cheesecake%20by%20Mawera.jpg",PT58M,PT15M,PT1H13M,"""tortilla chips"", ""butter"", ""margarine"", ""cream cheese"", ""cream cheese"", ""eggs"", ""monterey jack pepper cheese"", ""green chilies"", ""sour cream"", ""green pepper"", ""yellow sweet pepper"", ""green onion"", ""tomatoes"", ""ripe olives"", ""fresh cilantro"", ""parsley""",170.6,15.4,3.6,5.2,25,"""Combine tortilla chips and butter; press onto bottom of a lightly greased 9-inch springform pan."", ""Bake at 325 degrees for 15 minutes."", ""Cool on a wire rack."", ""Beat cream cheese at medium speed with an electric mixer 3 minutes or until fluffy; add eggs, one at a time, beating after each addition."", ""Stir in cheese, chiles, and ground red pepper."", ""Pour into prepared pan, and bake at 325 degrees for 30 minutes."", ""Cool 10 minutes on a wire rack."", ""Place on a bed of fresh cilantro or parsley, if desired."", 
""Gently run a knife around edge of pan to release sides, and let cool completely."", ""Spread sour cream evenly over top; cover and chill."", ""Arrange green pepper and remaining ingredients on top as desired."")",0,0,1
174,Thai Sweet Chili Sauce,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/89/81/picEuZ5Lc.jpg",PT20M,PT5M,PT25M,"""rice vinegar"", ""sugar"", ""plum sauce"", ""Thai fish sauce"", ""lime juice"", ""lemon juice"", ""tomato paste"", ""garlic"", ""serrano chili"", ""sweet paprika"", ""salt"", ""all-purpose flour""",36.8,0.1,9.1,0.3,8,"Combine all ingredients and 1/2 c water in a small saucepan, and bring to a boil."", ""Reduce heat and simmer for 4 minutes."", ""Let cool."", ""Will keep in refrigerator for 3 days.",1,0,0
175,Blushing Strawberry Family Delight,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/90/05/9005.jpg",PT10M,PT5M,PT15M,"""gelatin"", ""hot water"", ""water"", ""bananas"", ""strawberries"", ""strawberry""",301.7,12.3,47.0,4.7,6,"Boil 1 cup of water."", ""Pour the gelatin powder in it."", ""Stir continuously in order to avoid lumps."", ""Cool."", ""And 1 cup cold water."", ""Set aside to form in the refrigerator."", ""In the meantime, chop bananas and strawberries."", ""Once the jelly has formed, add the cream and condensed milk."", ""Whisk extremely well."", ""Add the chopped fruits."", ""Keep it in the freezer to form."", ""Once formed, garnish with a strawberry and serve.",0,0,0
